Sl_No,12th_Name,12th_Board,Total Lang1,Total Lang2,Total Math,Total PHY,Total CHE,Total BIO/other,Total CS/IT,12th_Pct,10th_Pct,10th_Board,10th_Medium,STEM_Total,STEM_Avg,Overall_Avg,Aptitude,BIO_score,LANG_score,OVERALL,MATH_STEM_RATIO,CS_STEM_RATIO,LANG_OVERALL_RATIO,CBSE_FLAG,ENGLISH_MEDIUM,Total Math_PERCENTILE,Total PHY_PERCENTILE,Total CS/IT_PERCENTILE,Total BIO/other_PERCENTILE,career_20
990,HS,ISC,90.0,86.0,78,91,87.0,80.0,90.0,87.2,82.2,WBBSE,English,346.0,86.5,84.7,High,80.0,88.0,84.7,0.2254335260115607,0.26011560693641617,1.0389610389610389,0,1,0.5920752565564424,0.8902508551881414,0.9002280501710376,0.4985746864310148,1
991,HS,Higher Secondary Examination,87.0,94.0,86,95,95.0,80.0,86.0,91.4,82.2,WBBSE,English,362.0,90.5,86.80000000000001,High,80.0,90.5,86.80000000000001,0.23756906077348067,0.23756906077348067,1.042626728110599,0,1,0.750570125427594,0.9677879133409351,0.86345496009122,0.4985746864310148,1
992,HS, Higher Secondary Examination,72.0,61.0,60,76,76.0,70.0,83.0,71.0,82.2,WBBSE,English,295.0,73.75,76.6,Medium,70.0,66.5,76.6,0.2033898305084746,0.28135593220338984,0.8681462140992168,0,1,0.2354618015963512,0.5267958950969214,0.4991448118586089,0.1525085518814139,10
993,HS,Higher Secondary Exam,88.0,93.0,67,94,94.0,84.0,83.0,90.6,82.2,WBBSE,English,338.0,84.5,86.4,High,84.0,90.5,86.4,0.19822485207100593,0.2455621301775148,1.0474537037037037,0,1,0.37457240592930446,0.9489737742303307,0.4991448118586089,0.7725199543899658,2
994,HS,WEST BENGAL COUNCIL OF HIGH SECONDARY EDUCATION,81.0,90.0,90,92,90.0,42.0,83.0,88.6,82.2,WBBSE,English,355.0,88.75,85.4,High,42.0,85.5,85.4,0.2535211267605634,0.23380281690140844,1.0011709601873535,0,1,0.8192702394526796,0.9144811858608894,0.4991448118586089,0.0028506271379703536,1
995,HS,Senior School Certificate Examination,87.0,86.0,95,68,91.0,95.0,83.0,87.2,82.2,WBBSE,English,337.0,84.25,84.7,High,95.0,86.5,84.7,0.2818991097922849,0.24629080118694363,1.0212514757969302,0,1,0.9233181299885975,0.35347776510832385,0.4991448118586089,0.9649372862029647,2
996,HS,H.S,80.0,81.0,67,83,83.0,75.0,83.0,80.4,82.2,WBBSE,English,316.0,79.0,81.30000000000001,Medium,75.0,80.5,81.30000000000001,0.2120253164556962,0.2626582278481013,0.9901599015990159,0,1,0.37457240592930446,0.7032497149372862,0.4991448118586089,0.23090079817559864,4
997,HS,Higher Secondary Examination,82.0,93.0,76,94,94.0,82.0,83.0,89.0,82.2,WBBSE,English,347.0,86.75,85.6,High,82.0,87.5,85.6,0.21902017291066284,0.23919308357348704,1.022196261682243,0,1,0.5513112884834663,0.9489737742303307,0.4991448118586089,0.7346066134549601,1
998,HS,HSC,100.0,39.0,74,67,66.0,80.0,83.0,71.4,82.2,WBBSE,English,290.0,72.5,76.80000000000001,Medium,80.0,69.5,76.80000000000001,0.25517241379310346,0.28620689655172415,0.9049479166666665,0,1,0.5017103762827823,0.33409350057012543,0.4991448118586089,0.4985746864310148,10
999,HS,Higher Secondary Examination,87.0,90.0,94,95,95.0,82.0,83.0,92.2,82.2,WBBSE,English,367.0,91.75,87.2,High,82.0,88.5,87.2,0.2561307901907357,0.22615803814713897,1.014908256880734,0,1,0.9033637400228051,0.9677879133409351,0.4991448118586089,0.7346066134549601,1
1000,HS,Higher Secondary,90.0,84.0,81,92,91.0,70.0,83.0,87.6,82.2,WBBSE,English,347.0,86.75,84.9,High,70.0,87.0,84.9,0.2334293948126801,0.23919308357348704,1.0247349823321554,0,1,0.6505131128848347,0.9144811858608894,0.4991448118586089,0.1525085518814139,1
1001,HS,Higher Secondary Exam(H.S),73.0,80.0,97,70,66.0,76.0,83.0,79.2,82.2,WBBSE,English,316.0,79.0,80.7,Medium,76.0,76.5,80.7,0.3069620253164557,0.2626582278481013,0.9479553903345724,0,1,0.9552451539338654,0.3848346636259977,0.4991448118586089,0.2525655644241733,3
1002,HS,HIGHER SECONDARY,78.0,90.0,70,91,91.0,80.0,83.0,86.0,82.2,WBBSE,English,335.0,83.75,84.1,High,80.0,84.0,84.1,0.208955223880597,0.24776119402985075,0.9988109393579073,0,1,0.4258836944127708,0.8902508551881414,0.4991448118586089,0.4985746864310148,2
1003,HS,ISC,98.0,86.0,75,84,81.0,85.0,83.0,84.6,82.2,WBBSE,English,323.0,80.75,83.4,High,85.0,92.0,83.4,0.23219814241486067,0.25696594427244585,1.1031175059952039,0,1,0.5253705815279361,0.7274800456100342,0.4991448118586089,0.7907639680729761,2
1004,HS,ALL INDIA SENIOR SCHOOL CERTIFICATE EXAMINATION (AISSCE),91.0,90.0,86,81,82.0,80.0,86.0,87.0,82.2,WBBSE,English,335.0,83.75,84.6,High,80.0,90.5,84.6,0.25671641791044775,0.25671641791044775,1.0697399527186762,0,1,0.750570125427594,0.6476624857468644,0.86345496009122,0.4985746864310148,2
1005,HS,Higher Secondary ,91.0,81.0,64,91,93.0,74.0,83.0,86.0,82.2,WBBSE,English,331.0,82.75,84.1,High,74.0,86.0,84.1,0.1933534743202417,0.25075528700906347,1.0225921521997623,0,1,0.3209806157354618,0.8902508551881414,0.4991448118586089,0.2112314709236032,2
1006,HS,CBSE,81.0,83.0,83,88,76.0,80.0,72.0,82.2,82.2,WBBSE,English,319.0,79.75,82.2,Medium,80.0,82.0,82.2,0.2601880877742947,0.22570532915360503,0.9975669099756691,1,1,0.6918472063854048,0.822405929304447,0.07383124287343215,0.4985746864310148,4
1007,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EXAMINATION,80.0,74.0,45,86,86.0,86.0,83.0,82.4,82.2,WBBSE,English,300.0,75.0,82.30000000000001,Medium,86.0,77.0,82.30000000000001,0.15,0.27666666666666667,0.9356014580801942,0,1,0.04532497149372862,0.7785062713797035,0.4991448118586089,0.8084378563283923,4
1008,HS,HS EXAM,80.0,73.0,80,81,82.0,58.0,83.0,79.2,82.2,WBBSE,English,326.0,81.5,80.7,High,58.0,76.5,80.7,0.24539877300613497,0.254601226993865,0.9479553903345724,0,1,0.6271379703534777,0.6476624857468644,0.4991448118586089,0.04133409350057012,2
1009,HS,CBSE,88.0,72.0,61,60,64.0,80.0,72.0,71.4,82.2,WBBSE,English,257.0,64.25,76.80000000000001,Medium,80.0,80.0,76.80000000000001,0.23735408560311283,0.2801556420233463,1.0416666666666665,1,1,0.26254275940706956,0.1790193842645382,0.07383124287343215,0.4985746864310148,10
1010,HS,West Bengal Council Of Higher Secondary Education,80.0,81.0,80,81,82.0,74.0,83.0,80.8,82.2,WBBSE,English,326.0,81.5,81.5,High,74.0,80.5,81.5,0.24539877300613497,0.254601226993865,0.9877300613496932,0,1,0.6271379703534777,0.6476624857468644,0.4991448118586089,0.2112314709236032,2
1011,HS,All India Senior School Certificate Examination (AISSCE),92.0,92.0,95,88,84.0,80.0,95.0,92.4,82.2,WBBSE,English,362.0,90.5,87.30000000000001,High,80.0,92.0,87.30000000000001,0.26243093922651933,0.26243093922651933,1.0538373424971361,0,1,0.9233181299885975,0.822405929304447,0.9615165336374002,0.4985746864310148,1
1012,HS,ISC,90.0,86.0,95,89,92.0,96.0,83.0,92.4,82.2,WBBSE,English,359.0,89.75,87.30000000000001,High,96.0,88.0,87.30000000000001,0.2646239554317549,0.23119777158774374,1.0080183276059564,0,1,0.9233181299885975,0.8389395667046751,0.4991448118586089,0.9774800456100342,1
1013,HS,Higher Secondary Examination,84.0,94.0,84,95,95.0,80.0,83.0,90.4,82.2,WBBSE,English,357.0,89.25,86.30000000000001,High,80.0,89.0,86.30000000000001,0.23529411764705882,0.23249299719887956,1.0312862108922363,0,1,0.7115165336374002,0.9677879133409351,0.4991448118586089,0.4985746864310148,1
1014,HS,HIGHER SECONDARY,74.0,80.0,58,82,82.0,75.0,73.0,78.6,82.2,WBBSE,English,295.0,73.75,80.4,Medium,75.0,77.0,80.4,0.19661016949152543,0.24745762711864408,0.9577114427860696,0,1,0.20467502850627137,0.677023945267959,0.07953249714937287,0.23090079817559864,10
1015,HS,ISC,88.0,88.0,74,72,79.0,75.0,83.0,79.4,82.2,WBBSE,English,308.0,77.0,80.80000000000001,Medium,75.0,88.0,80.80000000000001,0.24025974025974026,0.2694805194805195,1.089108910891089,0,1,0.5017103762827823,0.4372862029646522,0.4991448118586089,0.23090079817559864,4
1016,HS, HIGHER SECONDARY EDUCATION,73.0,84.0,70,86,86.0,80.0,83.0,81.8,82.2,WBBSE,English,325.0,81.25,82.0,High,80.0,78.5,82.0,0.2153846153846154,0.2553846153846154,0.9573170731707317,0,1,0.4258836944127708,0.7785062713797035,0.4991448118586089,0.4985746864310148,2
1017,HS,"HIGHER SECONDARY EXAMINATION ,2021",90.0,90.0,90,92,92.0,80.0,83.0,90.8,82.2,WBBSE,English,357.0,89.25,86.5,High,80.0,90.0,86.5,0.25210084033613445,0.23249299719887956,1.0404624277456647,0,1,0.8192702394526796,0.9144811858608894,0.4991448118586089,0.4985746864310148,1
1018,HS,INDIAN SCHOOL CERTIFICATE EXAMINATION,72.0,63.0,83,67,77.0,87.0,83.0,77.2,82.2,WBBSE,English,310.0,77.5,79.7,Medium,87.0,67.5,79.7,0.267741935483871,0.267741935483871,0.8469259723964868,0,1,0.6918472063854048,0.33409350057012543,0.4991448118586089,0.8278221208665907,4
1019,HS,WEST BENGAL HIGHER SECONDARY EXAMINATION,60.0,70.0,60,71,73.0,41.0,83.0,66.8,82.2,WBBSE,English,287.0,71.75,74.5,Medium,41.0,65.0,74.5,0.20905923344947736,0.289198606271777,0.87248322147651,0,1,0.2354618015963512,0.41191562143671606,0.4991448118586089,0.002280501710376283,10
1020,HS,Higher Secondary Examination,90.0,75.0,63,90,91.0,76.0,83.0,84.4,82.2,WBBSE,English,327.0,81.75,83.30000000000001,High,76.0,82.5,83.30000000000001,0.1926605504587156,0.25382262996941896,0.9903961584633852,0,1,0.3024515393386545,0.8608893956670467,0.4991448118586089,0.2525655644241733,2
1021,HS,AISSCE,91.0,86.0,76,81,67.0,93.0,83.0,81.6,82.2,WBBSE,English,307.0,76.75,81.9,Medium,93.0,88.5,81.9,0.247557003257329,0.2703583061889251,1.0805860805860805,0,1,0.5513112884834663,0.6476624857468644,0.4991448118586089,0.935290763968073,4
1022,HS,ISC ,77.0,77.0,53,88,68.0,92.0,83.0,80.4,82.2,WBBSE,English,292.0,73.0,81.30000000000001,Medium,92.0,77.0,81.30000000000001,0.1815068493150685,0.2842465753424658,0.9471094710947108,0,1,0.12229190421892816,0.822405929304447,0.4991448118586089,0.9184720638540479,10
1023,HS,Higher Secondary Examination,80.0,81.0,68,88,88.0,80.0,88.0,85.0,82.2,WBBSE,English,332.0,83.0,83.6,High,80.0,80.5,83.6,0.20481927710843373,0.26506024096385544,0.9629186602870814,0,1,0.3939566704675028,0.822405929304447,0.8822690992018244,0.4985746864310148,2
1024,HS,WBCHSE,90.0,90.0,74,91,91.0,82.0,83.0,88.8,82.2,WBBSE,English,339.0,84.75,85.5,High,82.0,90.0,85.5,0.2182890855457227,0.2448377581120944,1.0526315789473684,0,1,0.5017103762827823,0.8902508551881414,0.4991448118586089,0.7346066134549601,2
1025,HS,Higher Secondary Examination,91.0,92.0,97,99,97.0,80.0,83.0,95.2,82.2,WBBSE,English,376.0,94.0,88.7,High,80.0,91.5,88.7,0.2579787234042553,0.22074468085106383,1.0315670800450958,0,1,0.9552451539338654,0.9951539338654504,0.4991448118586089,0.4985746864310148,1
1026,HS,ISC,93.0,94.0,74,80,72.0,80.0,86.0,85.4,82.2,WBBSE,English,312.0,78.0,83.80000000000001,Medium,80.0,93.5,83.80000000000001,0.23717948717948717,0.27564102564102566,1.1157517899761336,0,1,0.5017103762827823,0.61345496009122,0.86345496009122,0.4985746864310148,4
1027,HS,HIGHER SECONDARY,91.0,91.0,64,93,93.0,77.0,83.0,89.0,82.2,WBBSE,English,333.0,83.25,85.6,High,77.0,91.0,85.6,0.1921921921921922,0.24924924924924924,1.0630841121495327,0,1,0.3209806157354618,0.9332953249714937,0.4991448118586089,0.27137970353477764,2
1028,HS,CBSE,93.0,86.0,83,89,87.0,90.0,83.0,88.4,82.2,WBBSE,English,342.0,85.5,85.30000000000001,High,90.0,89.5,85.30000000000001,0.24269005847953215,0.24269005847953215,1.0492379835873387,1,1,0.6918472063854048,0.8389395667046751,0.4991448118586089,0.8762827822120867,1
1029,HS,All India Senior School Certificate Examination(AISSCE),94.0,86.0,76,85,81.0,82.0,83.0,83.6,82.2,WBBSE,English,325.0,81.25,82.9,High,82.0,90.0,82.9,0.23384615384615384,0.2553846153846154,1.0856453558504222,0,1,0.5513112884834663,0.7522805017103763,0.4991448118586089,0.7346066134549601,2
1030,HS,WBCHSE,62.0,77.0,46,80,78.0,80.0,83.0,68.6,82.2,WBBSE,English,287.0,71.75,75.4,Medium,80.0,69.5,75.4,0.1602787456445993,0.289198606271777,0.9217506631299734,0,1,0.059578107183580385,0.61345496009122,0.4991448118586089,0.4985746864310148,10
1031,HS,AISSCE,93.0,92.0,95,94,95.0,80.0,94.0,94.2,82.2,WBBSE,English,378.0,94.5,88.2,High,80.0,92.5,88.2,0.25132275132275134,0.24867724867724866,1.0487528344671202,0,1,0.9233181299885975,0.9489737742303307,0.9464082098061574,0.4985746864310148,1
1032,HS,Indian school certificate examination class 12 year 2021,91.0,91.0,68,76,80.0,80.0,83.0,81.2,82.2,WBBSE,English,307.0,76.75,81.7,Medium,80.0,91.0,81.7,0.22149837133550487,0.2703583061889251,1.113831089351285,0,1,0.3939566704675028,0.5267958950969214,0.4991448118586089,0.4985746864310148,4
1033,HS,Higher Secondary Examination,90.0,84.0,65,90,90.0,77.0,83.0,86.2,82.2,WBBSE,English,328.0,82.0,84.2,High,77.0,87.0,84.2,0.19817073170731708,0.2530487804878049,1.033254156769596,0,1,0.33836944127708096,0.8608893956670467,0.4991448118586089,0.27137970353477764,2
1034,HS,SENIOR SCHOOL CERTIFICATE EXAMINATION,94.0,86.0,84,87,89.0,80.0,95.0,89.8,82.2,WBBSE,English,355.0,88.75,86.0,High,80.0,90.0,86.0,0.23661971830985915,0.2676056338028169,1.0465116279069768,0,1,0.7115165336374002,0.8013112884834663,0.9615165336374002,0.4985746864310148,1
1035,HS,ISC ,88.0,90.0,89,95,91.0,83.0,83.0,90.6,82.2,WBBSE,English,358.0,89.5,86.4,High,83.0,89.0,86.4,0.24860335195530725,0.23184357541899442,1.0300925925925926,0,1,0.79903078677309,0.9677879133409351,0.4991448118586089,0.7557012542759407,1
1036,HS,West Bengal Higher Secondary Examination,76.0,87.0,44,90,90.0,73.0,83.0,83.2,82.2,WBBSE,English,307.0,76.75,82.7,Medium,73.0,81.5,82.7,0.14332247557003258,0.2703583061889251,0.9854897218863361,0,1,0.02708095781071836,0.8608893956670467,0.4991448118586089,0.1961231470923603,4
1037,HS, HIGH SECONDARY,82.0,85.0,80,79,63.0,81.0,83.0,81.4,82.2,WBBSE,English,305.0,76.25,81.80000000000001,Medium,81.0,83.5,81.80000000000001,0.26229508196721313,0.2721311475409836,1.0207823960880194,0,1,0.6271379703534777,0.5915051311288484,0.4991448118586089,0.7115165336374002,4
1038,HS,HIGHER SECONDARY,75.0,74.0,48,77,76.0,80.0,83.0,70.0,82.2,WBBSE,English,284.0,71.0,76.1,Medium,80.0,74.5,76.1,0.16901408450704225,0.29225352112676056,0.9789750328515112,0,1,0.07953249714937287,0.5538768529076397,0.4991448118586089,0.4985746864310148,10
1039,HS,Higher Secondary Examination,75.0,78.0,63,80,77.0,77.0,83.0,77.4,82.2,WBBSE,English,303.0,75.75,79.80000000000001,Medium,77.0,76.5,79.80000000000001,0.2079207920792079,0.2739273927392739,0.9586466165413532,0,1,0.3024515393386545,0.61345496009122,0.4991448118586089,0.27137970353477764,4
1040,HS,HIGHER SECONDARY EXAMINATION,96.0,91.0,91,96,96.0,92.0,83.0,94.2,82.2,WBBSE,English,366.0,91.5,88.2,High,92.0,93.5,88.2,0.24863387978142076,0.226775956284153,1.0600907029478457,0,1,0.8454960091220068,0.9817559863169898,0.4991448118586089,0.9184720638540479,1
1041,HS,HS,71.0,72.0,61,76,76.0,80.0,64.0,71.8,82.2,WBBSE,English,277.0,69.25,77.0,Medium,80.0,71.5,77.0,0.22021660649819494,0.23104693140794225,0.9285714285714286,0,1,0.26254275940706956,0.5267958950969214,0.033352337514253136,0.4985746864310148,10
1042,HS,Higher Secondary,80.0,80.0,72,81,81.0,83.0,83.0,81.0,82.2,WBBSE,English,317.0,79.25,81.6,Medium,83.0,80.0,81.6,0.22712933753943218,0.2618296529968454,0.9803921568627452,0,1,0.4655074116305587,0.6476624857468644,0.4991448118586089,0.7557012542759407,4
1043,HS,BSEB,77.0,70.0,80,71,64.0,80.0,83.0,72.4,82.2,WBBSE,English,298.0,74.5,77.30000000000001,Medium,80.0,73.5,77.30000000000001,0.2684563758389262,0.2785234899328859,0.9508408796895212,0,1,0.6271379703534777,0.41191562143671606,0.4991448118586089,0.4985746864310148,7
1044,HS,HIGHER SECONDARY,84.0,75.0,66,86,86.0,73.0,83.0,80.8,82.2,WBBSE,English,321.0,80.25,81.5,High,73.0,79.5,81.5,0.205607476635514,0.2585669781931464,0.9754601226993865,0,1,0.3566134549600912,0.7785062713797035,0.4991448118586089,0.1961231470923603,2
1045,HS,ISC,89.0,94.0,84,81,73.0,80.0,95.0,88.6,82.2,WBBSE,English,333.0,83.25,85.4,High,80.0,91.5,85.4,0.25225225225225223,0.2852852852852853,1.0714285714285714,0,1,0.7115165336374002,0.6476624857468644,0.9615165336374002,0.4985746864310148,2
1046,HS,Higher Secondary Examination,91.0,84.0,75,88,92.0,70.0,83.0,86.0,82.2,WBBSE,English,338.0,84.5,84.1,High,70.0,87.5,84.1,0.22189349112426035,0.2455621301775148,1.0404280618311534,0,1,0.5253705815279361,0.822405929304447,0.4991448118586089,0.1525085518814139,2
1047,HS,SWARNALI DEY,80.0,73.0,63,82,82.0,74.0,83.0,78.2,82.2,WBBSE,English,310.0,77.5,80.2,Medium,74.0,76.5,80.2,0.2032258064516129,0.267741935483871,0.953865336658354,0,1,0.3024515393386545,0.677023945267959,0.4991448118586089,0.2112314709236032,4
1048,HS,West Bengal Higher Secondary Examination,74.0,72.0,33,75,76.0,65.0,83.0,72.4,82.2,WBBSE,English,267.0,66.75,77.30000000000001,Medium,65.0,73.0,77.30000000000001,0.12359550561797752,0.31086142322097376,0.9443725743855108,0,1,0.0011402508551881414,0.4991448118586089,0.4991448118586089,0.09920182440136831,10
1049,HS,HIGHER SECONDARY EXAMINATION,83.0,84.0,65,86,86.0,86.0,83.0,85.0,82.2,WBBSE,English,320.0,80.0,83.6,Medium,86.0,83.5,83.6,0.203125,0.259375,0.9988038277511962,0,1,0.33836944127708096,0.7785062713797035,0.4991448118586089,0.8084378563283923,2
1050,HS, Higher Secondary examination,83.0,90.0,83,90,90.0,80.0,83.0,87.2,82.2,WBBSE,English,346.0,86.5,84.7,High,80.0,86.5,84.7,0.2398843930635838,0.2398843930635838,1.0212514757969302,0,1,0.6918472063854048,0.8608893956670467,0.4991448118586089,0.4985746864310148,1
1051,HS,Tausif Akaram,83.0,86.0,76,82,81.0,80.0,83.0,81.0,82.2,WBBSE,English,322.0,80.5,81.6,High,80.0,84.5,81.6,0.2360248447204969,0.2577639751552795,1.0355392156862746,0,1,0.5513112884834663,0.677023945267959,0.4991448118586089,0.4985746864310148,2
1052,HS,Higher Secondary Examination,74.0,80.0,60,82,83.0,81.0,83.0,80.0,82.2,WBBSE,English,308.0,77.0,81.1,Medium,81.0,77.0,81.1,0.19480519480519481,0.2694805194805195,0.9494451294697904,0,1,0.2354618015963512,0.677023945267959,0.4991448118586089,0.7115165336374002,4
1053,HS,HigherSecondary,87.0,86.0,80,88,88.0,75.0,83.0,85.8,82.2,WBBSE,English,339.0,84.75,84.0,High,75.0,86.5,84.0,0.2359882005899705,0.2448377581120944,1.0297619047619047,0,1,0.6271379703534777,0.822405929304447,0.4991448118586089,0.23090079817559864,2
1054,HS,ISC,87.0,89.0,63,71,58.0,80.0,74.0,76.8,82.2,WBBSE,English,266.0,66.5,79.5,Medium,80.0,88.0,79.5,0.23684210526315788,0.2781954887218045,1.1069182389937107,0,1,0.3024515393386545,0.41191562143671606,0.08551881413911061,0.4985746864310148,9
1055,HS,central board of secondary education,90.0,83.0,62,57,84.0,80.0,83.0,75.2,82.2,WBBSE,English,286.0,71.5,78.7,Medium,80.0,86.5,78.7,0.21678321678321677,0.2902097902097902,1.099110546378653,0,1,0.282497149372862,0.13740022805017105,0.4991448118586089,0.4985746864310148,9
1056,HS,Senior School Certificate Examination,80.0,86.0,61,66,70.0,80.0,83.0,55.4,82.2,WBBSE,English,280.0,70.0,68.8,Medium,80.0,83.0,68.8,0.21785714285714286,0.29642857142857143,1.2063953488372094,0,1,0.26254275940706956,0.31442417331813,0.4991448118586089,0.4985746864310148,9
1057,HS,West Bengal council of higher secondary education,80.0,80.0,70,82,81.0,40.0,83.0,78.6,82.2,WBBSE,English,316.0,79.0,80.4,Medium,40.0,80.0,80.4,0.22151898734177214,0.2626582278481013,0.9950248756218905,0,1,0.4258836944127708,0.677023945267959,0.4991448118586089,0.0017103762827822121,4
1058,HS,Higher secondary examination,84.0,80.0,63,86,86.0,70.0,83.0,81.2,82.2,WBBSE,English,318.0,79.5,81.7,Medium,70.0,82.0,81.7,0.19811320754716982,0.2610062893081761,1.003671970624235,0,1,0.3024515393386545,0.7785062713797035,0.4991448118586089,0.1525085518814139,4
1059,HS,Higher secondary examination,73.0,64.0,62,76,75.0,43.0,83.0,70.0,82.2,WBBSE,English,296.0,74.0,76.1,Medium,43.0,68.5,76.1,0.20945945945945946,0.28040540540540543,0.9001314060446781,0,1,0.282497149372862,0.5267958950969214,0.4991448118586089,0.0034207525655644243,10
1060,HS,"SENIOR SCHOOL CERTIFICATE EXAMINATION, 2021",92.0,92.0,75,80,81.0,80.0,80.0,85.0,82.2,WBBSE,English,316.0,79.0,83.6,Medium,80.0,92.0,83.6,0.23734177215189872,0.25316455696202533,1.1004784688995215,0,1,0.5253705815279361,0.61345496009122,0.12913340935005702,0.4985746864310148,4
1061,HS,Indian School Certificate Examination,60.0,96.0,68,68,70.0,88.0,83.0,78.0,82.2,WBBSE,English,289.0,72.25,80.1,Medium,88.0,78.0,80.1,0.23529411764705882,0.28719723183391005,0.9737827715355806,0,1,0.3939566704675028,0.35347776510832385,0.4991448118586089,0.8483466362599772,10
1062,HS,ALL INDIA SENIOR SCHOOL CERTIFICATE EXAMINATION,90.0,91.0,75,67,82.0,80.0,83.0,81.0,82.2,WBBSE,English,307.0,76.75,81.6,Medium,80.0,90.5,81.6,0.24429967426710097,0.2703583061889251,1.1090686274509804,0,1,0.5253705815279361,0.33409350057012543,0.4991448118586089,0.4985746864310148,4
1063,HS,HIGHER SECONDARY,81.0,80.0,63,83,83.0,76.0,83.0,80.6,82.2,WBBSE,English,312.0,78.0,81.4,Medium,76.0,80.5,81.4,0.20192307692307693,0.266025641025641,0.9889434889434888,0,1,0.3024515393386545,0.7032497149372862,0.4991448118586089,0.2525655644241733,4
1064,HS,Intermediate Annual Examination,48.0,61.0,37,48,58.0,80.0,83.0,50.4,82.2,WBBSE,English,226.0,56.5,66.3,Low,80.0,54.5,66.3,0.16371681415929204,0.3672566371681416,0.8220211161387633,0,1,0.0034207525655644243,0.009122006841505131,0.4991448118586089,0.4985746864310148,12
1065,HS,Higher Secondary Exam,80.0,80.0,46,83,83.0,65.0,83.0,78.2,82.2,WBBSE,English,295.0,73.75,80.2,Medium,65.0,80.0,80.2,0.15593220338983052,0.28135593220338984,0.997506234413965,0,1,0.059578107183580385,0.7032497149372862,0.4991448118586089,0.09920182440136831,10
1066,HS,HIGHER SECONDARY,72.0,86.0,67,88,88.0,78.0,83.0,82.4,82.2,WBBSE,English,326.0,81.5,82.30000000000001,High,78.0,79.0,82.30000000000001,0.20552147239263804,0.254601226993865,0.9599027946537059,0,1,0.37457240592930446,0.822405929304447,0.4991448118586089,0.2859179019384265,2
1067,HS,INDIAN SCHOOL CERTIFICATE EXAMINATION,89.0,86.0,75,77,83.0,81.0,83.0,81.0,82.2,WBBSE,English,318.0,79.5,81.6,Medium,81.0,87.5,81.6,0.2358490566037736,0.2610062893081761,1.0723039215686274,0,1,0.5253705815279361,0.5538768529076397,0.4991448118586089,0.7115165336374002,4
1068,HS,HIGHER SECONDARY EXAMINATION 2021,88.0,83.0,76,87,87.0,74.0,83.0,84.2,82.2,WBBSE,English,333.0,83.25,83.2,High,74.0,85.5,83.2,0.22822822822822822,0.24924924924924924,1.0276442307692308,0,1,0.5513112884834663,0.8013112884834663,0.4991448118586089,0.2112314709236032,2
1069,HS,HIGHER SECONDARY,92.0,94.0,87,95,94.0,92.0,83.0,93.4,82.2,WBBSE,English,359.0,89.75,87.80000000000001,High,92.0,93.0,87.80000000000001,0.24233983286908078,0.23119777158774374,1.0592255125284737,0,1,0.7671037628278221,0.9677879133409351,0.4991448118586089,0.9184720638540479,1
1070,HS,INDIAN SCHOOL CERTIFICATE EXAMINATIONS,79.0,94.0,69,67,66.0,80.0,74.0,76.6,82.2,WBBSE,English,276.0,69.0,79.4,Medium,80.0,86.5,79.4,0.25,0.26811594202898553,1.0894206549118388,0,1,0.4070695553021665,0.33409350057012543,0.08551881413911061,0.4985746864310148,9
1071,HS,W.B.C.H.S.E,85.0,86.0,80,88,88.0,82.0,83.0,85.8,82.2,WBBSE,English,339.0,84.75,84.0,High,82.0,85.5,84.0,0.2359882005899705,0.2448377581120944,1.0178571428571428,0,1,0.6271379703534777,0.822405929304447,0.4991448118586089,0.7346066134549601,2
1072,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,67.0,66.0,76,83,83.0,83.0,83.0,78.4,82.2,WBBSE,English,325.0,81.25,80.30000000000001,High,83.0,66.5,80.30000000000001,0.23384615384615384,0.2553846153846154,0.8281444582814445,0,1,0.5513112884834663,0.7032497149372862,0.4991448118586089,0.7557012542759407,2
1073,HS,SENIOR SCHOOL CERTIFICATE EXAMINATION,88.0,89.0,81,86,79.0,76.0,83.0,84.6,82.2,WBBSE,English,329.0,82.25,83.4,High,76.0,88.5,83.4,0.24620060790273557,0.25227963525835867,1.0611510791366905,0,1,0.6505131128848347,0.7785062713797035,0.4991448118586089,0.2525655644241733,2
1074,HS,HIGHER SECONDARY EXAMINATION,70.0,70.0,70,73,72.0,80.0,71.0,71.2,82.2,WBBSE,English,286.0,71.5,76.7,Medium,80.0,70.0,76.7,0.24475524475524477,0.24825174825174826,0.9126466753585397,0,1,0.4258836944127708,0.45923603192702395,0.06784492588369441,0.4985746864310148,10
1075,HS,SENIOR SCHOOL CERTIFICATE EXAMINATION 2021,89.0,86.0,78,82,89.0,80.0,81.0,83.8,82.2,WBBSE,English,330.0,82.5,83.0,High,80.0,87.5,83.0,0.23636363636363636,0.24545454545454545,1.0542168674698795,0,1,0.5920752565564424,0.677023945267959,0.13911060433295325,0.4985746864310148,2
1076,HS,Bibhu Sundar Pal,90.0,93.0,94,95,95.0,95.0,83.0,94.4,82.2,WBBSE,English,367.0,91.75,88.30000000000001,High,95.0,91.5,88.30000000000001,0.2561307901907357,0.22615803814713897,1.0362400906002263,0,1,0.9033637400228051,0.9677879133409351,0.4991448118586089,0.9649372862029647,1
