Sl_No,12th_Name,12th_Board,Total Lang1,Total Lang2,Total Math,Total PHY,Total CHE,Total BIO/other,Total CS/IT,12th_Pct,10th_Pct,10th_Board,10th_Medium,STEM_Total,STEM_Avg,Overall_Avg,Aptitude
382,SSCE,CENTRAL BOARD OF SECONDARY EDUCATION ,85.0,70.0,53,70,69.0,80.0,83.0,69.4,82.0,CENTRAL BOARD OF SECONDARY EDUCATION,English,275.0,68.75,75.7,Medium
383,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,75.0,91.0,74,76,80.0,76.0,83.0,79.6,92.71,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,313.0,78.25,86.155,Medium
384,ISC,Cisce,86.0,86.0,75,64,63.0,76.0,83.0,72.8,91.8,Cisce ,English,285.0,71.25,82.3,Medium
385,SSCE,CBSE ,78.0,78.0,59,60,61.0,80.0,78.0,71.0,74.0,ICSE ,English,258.0,64.5,72.5,Medium
386,ISC,Council for the Indian School certificate,69.0,86.0,59,49,57.0,80.0,78.0,62.4,73.6,ICSE,English,243.0,60.75,68.0,Medium
387,HS,West Bengal Council Of Higher Secondary Education,76.0,80.0,66,55,62.0,74.0,83.0,71.6,90.85,West Bengal Board Of Secondary Education,Bengali,266.0,66.5,81.225,Medium
388,HS,WBCHSE ,72.0,87.0,54,74,86.0,66.0,83.0,77.0,86.0,WBBSE ,Bengali,297.0,74.25,81.5,Medium
389,Other,CBSE,69.0,86.0,56,61,58.0,60.0,83.0,60.8,74.8,CBSE,English,258.0,64.5,67.8,Medium
390,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,81.0,88.0,92,82,76.0,88.0,83.0,86.2,91.57,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,333.0,83.25,88.88499999999999,High
391,HS,WBCHSE,77.0,90.0,70,68,77.0,80.0,83.0,78.8,91.0,WBBSE,Bengali,298.0,74.5,84.9,Medium
392,HS,WBCHSE ,82.0,94.0,90,70,81.0,58.0,83.0,83.4,90.7,WBBSE,Bengali,324.0,81.0,87.05000000000001,High
393,HS,WBCHSE,85.0,96.0,85,73,75.0,87.0,83.0,85.6,91.1,WBBSE,Bengali,316.0,79.0,88.35,Medium
394,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,75.0,80.0,91,63,52.0,80.0,60.0,73.8,77.42,WEST BENGAL BOARD OF SECONDARY EDUCA,Bengali,266.0,66.5,75.61,Medium
395,Other,BSEB,77.0,86.0,66,81,75.0,75.0,83.0,74.8,64.0,BSEB,English,305.0,76.25,69.4,Medium
396,HS,West Bengal Council of Higher Secondary Education ,86.0,96.0,73,65,66.0,77.0,83.0,79.6,93.0,West Bengal Board of Secondary Education ,Bengali,287.0,71.75,86.3,Medium
397,Other,NIOS ,93.0,86.0,53,69,44.0,84.0,83.0,68.6,0.85,CBSE,English,249.0,62.25,34.724999999999994,Medium
398,Other,Central Board Of Secondary Education,94.0,86.0,68,61,73.0,80.0,71.0,73.4,0.93,Indian Certificate of Secondary Education,English,273.0,68.25,37.165000000000006,Medium
399,HS,WBCHSE,82.0,81.0,68,56,60.0,77.0,83.0,73.6,0.86,WBBSE,Bengali,267.0,66.75,37.23,Medium
400,HS,West Bengal Council of Higher Secondary Education,80.0,94.0,91,73,65.0,80.0,74.0,82.4,89.86,West Bengal Board of Secondary Education,Bengali,303.0,75.75,86.13,Medium
401,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,80.0,85.0,57,54,80.0,80.0,65.0,73.4,90.7,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,256.0,64.0,82.05000000000001,Medium
402,HS,WBCHSE,76.0,88.0,88,77,72.0,82.0,83.0,82.2,95.86,WBBSE,Bengali,320.0,80.0,89.03,Medium
403,HS,WBCHSE,54.0,67.0,82,56,67.0,80.0,81.0,70.6,85.7,WBBSE,English,286.0,71.5,78.15,Medium
404,HS,West Bengal Council of Higher Secondary Education,62.0,71.0,44,50,51.0,80.0,73.0,61.4,0.726,West Bengal Board of Secondary Education,Bengali,218.0,54.5,31.063,Low
405,HS,WBBSE,70.0,74.0,44,51,51.0,63.0,83.0,61.8,0.6542,WBBSE ,Bengali,229.0,57.25,31.2271,Low
406,SSCE,CBSE,66.0,86.0,70,61,63.0,64.0,83.0,64.8,79.6,CBSE,English,277.0,69.25,72.19999999999999,Medium
407,ISC,COUNCIL FOR INDIAN SCHOOL CERTIFICATE EXAMINATIONS,57.0,86.0,36,46,42.0,80.0,64.0,49.0,77.0,ICSE,English,188.0,47.0,63.0,Low
408,HS,WBCHSE,80.0,86.0,95,77,88.0,80.0,71.0,85.2,0.897,WBBSE,Bengali,331.0,82.75,43.048500000000004,High
409,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,87.0,90.0,67,66,75.0,83.0,83.0,80.4,0.92,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,291.0,72.75,40.660000000000004,Medium
410,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,93.0,93.0,78,72,80.0,72.0,83.0,83.2,92.0,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,313.0,78.25,87.6,Medium
411,ISC,CISCE,89.0,80.0,80,63,73.0,90.0,83.0,82.4,91.8,CISCE,English,299.0,74.75,87.1,Medium
412,HS,WEST BENGAL COUNSELLING OF HIGHER SECONDARY EDUCATION,77.0,93.0,70,63,70.0,82.0,83.0,78.4,97.3,WEST BENGAL COUNSELLING OF HIGHER SECONDARY EDUCATION,Bengali,286.0,71.5,87.85,Medium
413,HS,WBCHSE,77.0,95.0,67,63,57.0,76.0,83.0,75.6,0.775,WBCHSE ,Bengali,270.0,67.5,38.1875,Medium
414,HS,West Bengal council of higher secondary education ,58.0,67.0,70,66,74.0,51.0,83.0,67.0,84.6,Central board of secondary education ,English,293.0,73.25,75.8,Medium
415,SSCE,CBSE,76.0,86.0,64,61,81.0,80.0,76.0,71.6,92.0,CBSE,English,282.0,70.5,81.8,Medium
416,HS,West Bengal Council of Higher Secondary Education ,78.0,96.0,90,75,60.0,78.0,83.0,83.4,95.0,West Bengal Board of Secondary Education ,Bengali,308.0,77.0,89.2,Medium
417,HS,west bengal board of higher secondary education,62.0,90.0,88,80,76.0,82.0,83.0,83.2,79.0,west bengal board of secondary education,English,327.0,81.75,81.1,High
418,Other,CBSE,75.0,86.0,54,56,53.0,80.0,59.0,59.4,95.2,CISCE,English,222.0,55.5,77.3,Low
419,HS,WBCHSE,83.0,92.0,53,63,73.0,78.0,83.0,77.8,88.14,WBBSE,English,272.0,68.0,82.97,Medium
420,HS,WBCHSE ,80.0,90.0,81,56,76.0,90.0,83.0,83.4,85.4,WBBSE,Bengali,296.0,74.0,84.4,Medium
421,HS,West Bengal Council of Higher Secondary Education,78.0,98.0,77,80,81.0,85.0,83.0,84.4,97.57,West Bengal Board of Secondary Education,Bengali,321.0,80.25,90.985,High
422,HS,Wbchse,76.0,86.0,92,60,78.0,66.0,83.0,79.6,0.8914,Wbbse,Bengali,313.0,78.25,40.2457,Medium
423,HS,WBCHSE,85.0,91.0,74,51,82.0,75.0,83.0,81.4,92.85,WBBSE,Bengali,290.0,72.5,87.125,Medium
424,HS,Higher secondary ,83.0,80.0,75,63,60.0,63.0,83.0,72.8,90.0,West Bengal secondary exams ,Bengali,281.0,70.25,81.4,Medium
425,HS,West Bengal Board ,80.0,90.0,63,72,66.0,62.0,83.0,74.2,86.86,West Bengal Board ,Bengali,284.0,71.0,80.53,Medium
426,HS,WBCHSE,74.0,86.0,44,61,61.0,80.0,81.0,72.6,0.9157,WBBSE,Bengali,247.0,61.75,36.75785,Medium
427,HS,WBCHSE,74.0,90.0,86,65,73.0,81.0,83.0,80.8,73.71,WBBSE,Bengali,307.0,76.75,77.255,Medium
428,SSCE,CBSE,91.0,86.0,70,66,56.0,80.0,65.0,69.6,84.83,ICSE,English,257.0,64.25,77.215,Medium
429,HS,WBCHSE,86.0,97.0,62,72,73.0,78.0,83.0,81.2,90.28,West Bengal Board ,Bengali,290.0,72.5,85.74000000000001,Medium
430,HS,WBCHSE,70.0,90.0,90,51,75.0,72.0,83.0,79.4,89.7,WBBSE,Bengali,299.0,74.75,84.55000000000001,Medium
431,HS,West Bengal Council Higher Secondary Education ,80.0,81.0,84,52,65.0,75.0,83.0,77.0,84.0,West Bengal Board of Secondary Education ,Bengali,284.0,71.0,80.5,Medium
432,HS,WBCHSE,52.0,85.0,73,64,56.0,80.0,66.0,68.8,72.0,WBBSE,Bengali,259.0,64.75,70.4,Medium
433,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,90.0,90.0,87,74,92.0,91.0,83.0,90.0,90.0,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,336.0,84.0,90.0,High
434,HS,West Bengal Council of Higher Secondary Education ,75.0,82.0,86,51,70.0,56.0,83.0,73.8,0.7971,West Bengal Board of Secondary Education ,Bengali,290.0,72.5,37.29855,Medium
435,HS,WBCHSE,74.0,85.0,88,72,81.0,82.0,83.0,82.0,77.0,WBCHSE,Bengali,324.0,81.0,79.5,High
436,HS,W.B.C.H.S.E,80.0,82.0,44,48,70.0,57.0,83.0,67.4,0.7285,W.B.B.S.E,Bengali,245.0,61.25,34.06425,Medium
437,HS,West Bengal council of higher secondary education ,85.0,91.0,93,60,80.0,70.0,83.0,83.8,82.29,West Bengal board of secondary education ,Bengali,316.0,79.0,83.045,Medium
438,HS,WBCHSE ,81.0,90.0,71,65,84.0,74.0,83.0,80.0,83.28,WBBSE,Bengali,303.0,75.75,81.64,Medium
439,ISC,Council For The Indian School Certificate Examinations,80.0,86.0,66,61,57.0,80.0,84.0,69.6,0.7917,Council For The Indian School Certificate Examinations,English,268.0,67.0,35.19585,Medium
440,HS,WBCHSE ,83.0,91.0,48,67,54.0,60.0,83.0,71.0,85.7,WBBSE,English,252.0,63.0,78.35,Medium
441,HS,West Bengal Council of Higher Secondary Education ,70.0,83.0,45,58,64.0,65.0,83.0,68.0,0.66,West Bengal Board Of Secondary education ,English,250.0,62.5,34.33,Medium
442,HS,West Bengal council of higher secondary education ,88.0,92.0,90,76,90.0,85.0,83.0,89.0,93.42,West Bengal board of secondary education ,Bengali,339.0,84.75,91.21000000000001,High
443,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,71.0,82.0,67,57,57.0,53.0,83.0,66.8,78.7,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,264.0,66.0,72.75,Medium
444,SSCE,CBSE,70.0,76.0,43,60,57.0,68.0,83.0,66.2,78.0,ICSE,English,243.0,60.75,72.1,Medium
445,HS,WBCHSE,84.0,88.0,74,64,76.0,84.0,83.0,81.2,0.9371,WBBSE,Bengali,297.0,74.25,41.06855,Medium
446,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,90.0,90.0,83,85,93.0,90.0,83.0,89.6,94.8,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,344.0,86.0,92.19999999999999,High
447,ISC,CISCE,88.0,88.0,92,91,91.0,80.0,97.0,91.8,89.3,CISCE,English,371.0,92.75,90.55,High
448,HS,CBSE ,58.0,48.0,45,50,55.0,80.0,57.0,53.6,69.0,CBSE ,English,207.0,51.75,61.3,Low
449,HS,West Bengal Council of Higher Secondary Education,71.0,87.0,81,52,41.0,66.0,83.0,71.4,0.8714,West Bengal Board Of Secondary Education,Bengali,257.0,64.25,36.1357,Medium
450,Other,CBSE(AISSCE),78.0,86.0,44,51,36.0,56.0,83.0,53.0,0.76,ICSE(CISCE),English,214.0,53.5,26.88,Low
451,ISC,Council for the Indian school certificate examination ,97.0,86.0,55,52,52.0,69.0,83.0,65.0,69.45,CBSE ,English,242.0,60.5,67.225,Medium
452,HS,WBCHSE ,70.0,76.0,44,53,68.0,75.0,83.0,68.4,66.7,WBBSE,Bengali,248.0,62.0,67.55000000000001,Medium
453,ISC,CISCE,72.0,72.0,45,66,63.0,80.0,77.0,70.0,54.0,CISCE,English,251.0,62.75,62.0,Medium
454,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,66.0,85.0,53,70,78.0,80.0,83.0,75.8,75.6,WEST BENGAL BOARD OF SECONDARY EDUCATION,English,284.0,71.0,75.69999999999999,Medium
455,HS,WBBSE ,71.0,64.0,44,55,58.0,76.0,83.0,64.8,83.42,WBBSE ,Bengali,240.0,60.0,74.11,Low
456,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,81.0,76.0,83,86,77.0,90.0,83.0,83.4,0.9214,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,329.0,82.25,42.160700000000006,High
457,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,76.0,87.0,80,64,71.0,63.0,83.0,75.6,0.915,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,298.0,74.5,38.2575,Medium
458,HS,CBSE,100.0,86.0,52,52,69.0,80.0,67.0,68.0,84.2,CBSE,English,240.0,60.0,76.1,Low
459,Other,Cbse ,93.0,86.0,63,80,86.0,99.0,83.0,84.2,92.2,Cbse ,English,312.0,78.0,88.2,Medium
460,Other,CENTRAL BOARD OF SECONDARY EDUCATION ,94.0,86.0,73,92,85.0,94.0,83.0,87.6,95.5,CENTRAL BOARD OF SECONDARY EDUCATION ,English,333.0,83.25,91.55,High
461,HS,West Bengal Council,83.0,71.0,48,62,50.0,53.0,83.0,63.8,0.74,West Bengal Board,Bengali,243.0,60.75,32.269999999999996,Medium
462,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,75.0,90.0,76,60,81.0,73.0,83.0,79.0,79.0,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,300.0,75.0,79.0,Medium
463,ISC,CISCE,90.0,86.0,93,94,93.0,80.0,95.0,93.0,91.0,CISCE,English,375.0,93.75,92.0,High
464,SSCE,CBSE,82.0,86.0,54,64,75.0,80.0,60.0,67.0,79.4,ICSE,English,253.0,63.25,73.2,Medium
465,HS,West Bengal Council Of Higher Secondary Education (WBCHSE),88.0,88.0,83,70,80.0,80.0,83.0,83.8,0.8957,West Bengal Board of Secondary Education ( WBBSE),Bengali,316.0,79.0,42.34785,Medium
466,Other, Central Board of Secondary Education,75.0,86.0,45,52,57.0,80.0,80.0,61.8,74.0, Central Board of Secondary Education,English,234.0,58.5,67.9,Low
467,Other,CBSE,89.0,86.0,78,66,76.0,91.0,83.0,80.0,0.94,CBSE,English,303.0,75.75,40.47,Medium
468,ISC,CISCE,78.0,86.0,77,60,70.0,77.0,83.0,72.4,91.0,CISCE,English,290.0,72.5,81.7,Medium
469,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,80.0,93.0,63,60,58.0,80.0,80.0,75.2,0.8142,West Bengal Board Of Secondary Education ,Bengali,261.0,65.25,38.0071,Medium
470,HS,WBCHSE,78.0,90.0,78,70,71.0,66.0,83.0,77.4,78.42,WBBSE,Bengali,302.0,75.5,77.91,Medium
471,ISC,CISCE,76.0,76.0,63,83,78.0,72.0,83.0,77.0,82.833,CISCE,English,307.0,76.75,79.9165,Medium
472,HS,WBCHSE,75.0,92.0,57,62,77.0,81.0,83.0,77.4,91.0,WBBSE,Bengali,279.0,69.75,84.2,Medium
473,ISC,Council for the Indian School Certificate Examinations,89.0,89.0,91,86,64.0,94.0,94.0,91.4,91.0,Council for the Indian School Certificate Examinations,English,335.0,83.75,91.2,High
474,HS,WBCHSE,78.0,84.0,81,66,81.0,80.0,83.0,80.8,87.0,WBBSE,Bengali,311.0,77.75,83.9,Medium
475,HS,West Bengal Council of Higher Secondary Education,92.0,90.0,64,90,87.0,91.0,83.0,90.0,94.42,West Bengal Board of Secondary Education,Bengali,324.0,81.0,92.21000000000001,High
476,HS,WBCHSE,71.0,93.0,52,60,79.0,80.0,65.0,68.2,0.811,WBBSE,English,256.0,64.0,34.505500000000005,Medium
477,HS,West Bengal Council Of Higher Secondary Education,92.0,87.0,84,51,67.0,77.0,83.0,81.4,0.929,West Bengal Bord Of Secondary Education ,Bengali,285.0,71.25,41.164500000000004,Medium
478,HS,CBSE,71.0,86.0,54,53,53.0,53.0,53.0,56.8,62.0,WBBSE,English,213.0,53.25,59.4,Low
479,HS,WBCHSE,90.0,82.0,74,73,80.0,80.0,93.0,83.8,84.43,WBBSE,Bengali,320.0,80.0,84.11500000000001,Medium
480,ISC,Indian School Certificate ,90.0,90.0,62,55,64.0,83.0,85.0,82.4,81.0,ICSE,English,266.0,66.5,81.7,Medium
481,HS,WBCHSE ,80.0,76.0,60,52,58.0,66.0,83.0,68.0,0.83,WBBSE,Bengali,253.0,63.25,34.415,Medium
482,SSCE,Central Board of Secondary Education ,84.0,86.0,62,80,69.0,80.0,90.0,77.0,87.0,Central Board of Secondary Education ,English,301.0,75.25,82.0,Medium
483,HS,WBCHSE,72.0,85.0,81,50,58.0,57.0,83.0,70.6,0.85,WBBSE,Bengali,272.0,68.0,35.724999999999994,Medium
484,HS,WBCHSE,87.0,95.0,80,62,83.0,85.0,83.0,86.0,0.9014,WBBSE,Bengali,308.0,77.0,43.4507,Medium
485,HS,WBCHSE,80.0,70.0,55,51,60.0,60.0,83.0,65.0,0.6957,WBBSE,Bengali,249.0,62.25,32.84785,Medium
486,HS,WBCHSE ,90.0,96.0,99,90,81.0,94.0,83.0,93.8,95.7,WBBSE ,Bengali,353.0,88.25,94.75,High
487,HS,CBSE,75.0,86.0,48,62,52.0,61.0,83.0,59.6,0.68,CBSE,English,245.0,61.25,30.14,Medium
488,HS,WBCHSE,82.0,83.0,60,56,60.0,75.0,83.0,72.0,72.0,WBBSE,Bengali,259.0,64.75,72.0,Medium
489,HS,WBCHSE,86.0,90.0,96,61,61.0,75.0,83.0,81.6,88.71,WBBSE,Bengali,301.0,75.25,85.155,Medium
490,ISC,Cisce,88.0,85.0,61,47,53.0,80.0,68.0,71.0,82.2,Cisce,English,229.0,57.25,76.6,Low
491,Other,CENTRAL BOARD OF SECONDARY EDUCATION ,68.0,86.0,44,51,50.0,80.0,54.0,53.4,0.8684,CENTRAL BOARD OF SECONDARY EDUCATION ,English,199.0,49.75,27.1342,Low
492,HS,WBCHSE ,78.0,87.0,80,51,66.0,68.0,83.0,75.8,88.0,WBBSE ,Bengali,280.0,70.0,81.9,Medium
493,HS,WBCHSE,70.0,76.0,54,60,60.0,60.0,83.0,65.2,0.631,WBBSE,Bengali,257.0,64.25,32.9155,Medium
494,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,84.0,97.0,76,82,87.0,80.0,83.0,86.0,0.88,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,328.0,82.0,43.44,High
495,HS,WB Board ,80.0,86.0,60,65,53.0,71.0,83.0,72.4,0.767,WB Board ,Bengali,261.0,65.25,36.5835,Medium
496,HS,WBBHSE ,50.0,62.0,30,51,54.0,68.0,83.0,57.0,0.68,WBBSE,Bengali,218.0,54.5,28.84,Low
497,HS,WBCHSE ,82.0,77.0,61,68,60.0,72.0,83.0,72.0,0.75,WBSE,Bengali,272.0,68.0,36.375,Medium
498,HS,WBCHSE ,85.0,94.0,73,70,78.0,68.0,83.0,80.0,75.0,WBBSE,Bengali,304.0,76.0,77.5,Medium
499,Other,Central Board of Secondary Education,91.0,86.0,57,62,70.0,80.0,78.0,71.6,80.6,Indian Certificate of Secondary Education,English,267.0,66.75,76.1,Medium
500,HS,WBCHSE,70.0,77.0,76,62,61.0,71.0,83.0,71.2,68.14,WBBSE,Bengali,282.0,70.5,69.67,Medium
501,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,74.0,83.0,68,64,55.0,64.0,83.0,70.6,0.8614,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,270.0,67.5,35.7307,Medium
502,HS,WBCHSE,72.0,80.0,80,56,64.0,76.0,83.0,74.4,64.85,WBBSE,Bengali,283.0,70.75,69.625,Medium
503,HS,WBCHSE,78.0,87.0,56,60,54.0,67.0,83.0,69.6,87.0,WBBSE,Bengali,253.0,63.25,78.3,Medium
504,SSCE,Central Board of Secondary Education ,72.0,86.0,65,62,58.0,60.0,83.0,63.4,76.6,Central Board of Secondary Education ,English,268.0,67.0,70.0,Medium
505,HS,WBCHSE,88.0,83.0,76,60,80.0,82.0,83.0,81.8,79.0,WBBSE,Bengali,299.0,74.75,80.4,Medium
506,ISC,Council for the Indian School Certificate Examinations,78.0,87.0,43,55,50.0,80.0,73.0,68.6,81.83,Council for the Indian School Certificate Examinations,English,221.0,55.25,75.215,Low
507,HS,West Bengal council of higher secondary education ,85.0,84.0,81,52,74.0,80.0,83.0,80.8,0.89,West Bengal Bord Of Secondary Education ,Bengali,290.0,72.5,40.845,Medium
508,HS,West Bengal Council of Higher Secondary Education ,80.0,85.0,46,52,62.0,80.0,83.0,65.0,78.14,West Bengal Board of Secondary Education ,Hindi,243.0,60.75,71.57,Medium
509,HS,West Bengal Council of Higher Secondary Education,55.0,65.0,62,72,70.0,65.0,83.0,66.8,83.28,West Bengal Board Of Secondary Education,Bengali,287.0,71.75,75.03999999999999,Medium
510,ISC,Council for Indian School Certificate Examinations,90.0,79.0,73,68,59.0,87.0,83.0,79.4,81.6,Council of Indian School Certificate Examinations,English,283.0,70.75,80.5,Medium
511,HS,WBCHSE,56.0,45.0,44,51,51.0,53.0,83.0,51.2,0.5,WBBSE,Bengali,229.0,57.25,25.85,Low
512,HS,WBCHSE ,66.0,90.0,64,60,63.0,80.0,74.0,71.4,80.7,WBBSE ,Bengali,261.0,65.25,76.05000000000001,Medium
513,HS,West Bengal board ,90.0,93.0,62,50,77.0,78.0,83.0,80.0,0.734,West Bengal board ,Bengali,272.0,68.0,40.367,Medium
514,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,65.0,85.0,50,57,62.0,80.0,51.0,64.0,75.28,WEST BENGAL BOARD OF SECONDARY EDUCATION ,English,220.0,55.0,69.64,Low
515,HS,WBCHSE,80.0,84.0,67,58,74.0,75.0,83.0,76.0,63.14,WBBSE,Bengali,282.0,70.5,69.57,Medium
516,HS,West Bengal Council of Higher Secondary Education,70.0,78.0,53,60,72.0,81.0,83.0,72.2,0.61,West Bengal Board of Secondary Education,Bengali,268.0,67.0,36.405,Medium
517,HS,WBCHSE,83.0,87.0,70,70,83.0,77.0,83.0,80.0,91.85,WBBSE,Bengali,306.0,76.5,85.925,Medium
518,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,82.0,75.0,44,61,66.0,70.0,83.0,70.8,75.57,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,254.0,63.5,73.185,Medium
519,HS,WEST BENGAL BOARD COUNCIL OF HIGHER SECONDARY EDUCATION ,77.0,67.0,57,50,52.0,61.0,83.0,62.8,74.0,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,242.0,60.5,68.4,Medium
520,HS,WBCHSE,80.0,86.0,64,66,76.0,60.0,83.0,74.4,78.42,WBBSE,Bengali,289.0,72.25,76.41,Medium
521,SSCE,CBSE,91.0,86.0,53,60,61.0,80.0,53.0,63.6,87.1,CBSE,English,227.0,56.75,75.35,Low
522,HS,CBSE,94.0,86.0,54,66,62.0,80.0,83.0,71.2,89.6,CBSE,English,265.0,66.25,80.4,Medium
523,HS,WBCHSE,75.0,87.0,73,73,74.0,72.0,83.0,76.4,81.71,WBBSE,English,303.0,75.75,79.055,Medium
524,ISC,CISCE,84.0,84.0,43,84,46.0,54.0,83.0,70.4,76.5,ICSE,English,256.0,64.0,73.45,Medium
525,HS,WBCHSE,74.0,90.0,70,60,70.0,80.0,83.0,77.4,82.4,WBBSE,English,283.0,70.75,79.9,Medium
526,HS,WBCHSE,87.0,91.0,51,63,54.0,67.0,83.0,72.4,0.908,WBBSE,Bengali,251.0,62.75,36.654,Medium
527,HS,WBCHSE,80.0,92.0,75,55,76.0,65.0,83.0,77.6,84.71,WBBSE,English,289.0,72.25,81.155,Medium
528,HS,WBCHSE,74.0,90.0,80,60,58.0,81.0,83.0,77.0,91.86,WBBSE,Bengali,281.0,70.25,84.43,Medium
529,HS,WBCHSCE,56.0,71.0,44,55,60.0,55.0,83.0,59.4,0.75,West Bengal Board Of Secondary Education,Bengali,242.0,60.5,30.075,Medium
530,SSCE,CBSE,90.0,86.0,48,53,60.0,66.0,62.0,66.2,93.33,ICSE,English,223.0,55.75,79.765,Low
531,HS,West Bengal Council Of Higher Secondary Education,80.0,90.0,44,60,70.0,62.0,83.0,72.4,83.4,West Bengal Board Of Secondary Education,Bengali,257.0,64.25,77.9,Medium
532,HS,WBCHSE ,78.0,81.0,54,67,72.0,67.0,83.0,73.0,0.867,WBBSE ,Bengali,276.0,69.0,36.9335,Medium
533,HS,wbchse,77.0,87.0,44,51,51.0,90.0,83.0,71.2,70.29,wbbse,Bengali,229.0,57.25,70.745,Low
534,HS,WBCHSE,83.0,88.0,90,60,61.0,87.0,83.0,81.8,89.0,WBBSE,Bengali,294.0,73.5,85.4,Medium
535,HS,West bengol bord,56.0,71.0,54,58,61.0,50.0,83.0,60.0,60.0,West bengal board,Bengali,256.0,64.0,60.0,Medium
536,HS,West Bengal Council of Higher secondary education ,53.0,70.0,44,50,51.0,51.0,83.0,55.0,52.71,West Bengal Board of secondary education ,Bengali,228.0,57.0,53.855000000000004,Low
537,ISC,CISCE,77.0,86.0,57,66,59.0,73.0,83.0,66.4,79.66,CISCE,English,265.0,66.25,73.03,Medium
538,HS,West Bengal Council Of Higher Secondary Education ,80.0,73.0,60,56,66.0,62.0,83.0,68.2,0.96,West Bengal board of secondary education ,Bengali,265.0,66.25,34.58,Medium
539,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,87.0,83.0,47,52,74.0,70.0,83.0,73.2,81.43,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,256.0,64.0,77.315,Medium
540,HS,West Bengal Council Of Higher Secondary Education.,90.0,87.0,85,85,95.0,88.0,83.0,89.0,61.57,West Bengal Board Of Secondary Education.,Bengali,348.0,87.0,75.285,High
541,HS,WBCHSE,77.0,76.0,47,50,67.0,70.0,83.0,68.0,78.0,WBBSE,Bengali,247.0,61.75,73.0,Medium
542,HS,West Bengal Council of Higher Secondary Education,81.0,90.0,58,60,66.0,61.0,61.0,71.8,88.0,West Bengal Board of Secondary Education,Bengali,245.0,61.25,79.9,Medium
543,HS,WBCHSE,76.0,83.0,44,68,60.0,68.0,83.0,71.0,72.0,WBBSE,English,255.0,63.75,71.5,Medium
544,HS,West Bengal Council of Higher Secondary Education,76.0,92.0,77,81,51.0,80.0,84.0,82.0,0.774,West Bengal Board of Secondary Education,English,293.0,73.25,41.387,Medium
545,HS,WBCHSE ,70.0,86.0,60,60,51.0,80.0,50.0,65.4,0.841,WBBSE ,Bengali,221.0,55.25,33.1205,Low
546,ISC,CISCE,91.0,91.0,82,75,70.0,81.0,83.0,84.0,94.33,CISCE,English,310.0,77.5,89.16499999999999,Medium
547,Other,Central Board Of Secondary Education,91.0,86.0,79,92,78.0,68.0,83.0,81.6,80.0,Council For The Indian School Certificate Examinations,English,332.0,83.0,80.8,High
548,ISC,Council for the Indian School Certificate Examinations,85.0,86.0,88,83,67.0,77.0,83.0,80.0,88.6,Council for the Indian School Certificate Examinations,English,321.0,80.25,84.3,High
549,HS,WBCHSE ,81.0,87.0,72,62,58.0,52.0,83.0,72.0,0.8085,WBBSE ,English,275.0,68.75,36.40425,Medium
550,HS,WBCHSE,81.0,90.0,48,51,45.0,80.0,90.0,72.0,78.0,WBBSE ,Bengali,234.0,58.5,75.0,Low
