Sl_No,12th_Name,12th_Board,Total Lang1,Total Lang2,Total Math,Total PHY,Total CHE,Total BIO/other,Total CS/IT,12th_Pct,10th_Pct,10th_Board,10th_Medium,STEM_Total,STEM_Avg,Overall_Avg,Aptitude
138,HS,West Bengal Council Of Higher Secondary Education ,82.0,86.0,93,70,90.0,95.0,83.0,89.2,0.8142,West Bengal Board Of Secondary Education ,Bengali,336.0,84.0,45.0071,High
139,HS,WBCHSE,81.0,80.0,81,61,82.0,66.0,83.0,78.0,79.0,WBBSE,Bengali,307.0,76.75,78.5,Medium
140,SSCE,CBSE,94.0,70.0,62,68,67.0,80.0,83.0,72.2,93.16,CBSE,English,280.0,70.0,82.68,Medium
141,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,70.0,74.0,57,50,48.0,52.0,83.0,60.6,68.57,WEST BENGAL BOARD OF  SECONDARY EDUCATION,Bengali,238.0,59.5,64.585,Low
142,ISC,CISCE,80.0,93.0,82,96,92.0,92.0,83.0,91.0,94.1,CISCE,English,353.0,88.25,92.55,High
143,SSCE,Central board of secondary education ,80.0,84.0,81,73,68.0,79.0,83.0,79.4,88.57,West bengal board of secondary education ,English,305.0,76.25,83.985,Medium
144,HS,WBCHSE,93.0,67.0,71,70,63.0,80.0,61.0,72.8,80.1,WBBSE,English,265.0,66.25,76.44999999999999,Medium
145,HS,CBSE,91.0,86.0,70,64,69.0,76.0,83.0,74.0,91.2,CBSE,English,286.0,71.5,82.6,Medium
146,HS,WBCHSE ,74.0,92.0,49,60,52.0,68.0,83.0,69.2,0.8743,WBCHSE ,Bengali,244.0,61.0,35.037150000000004,Medium
147,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,62.0,84.0,50,60,76.0,91.0,83.0,74.6,0.5928,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,269.0,67.25,37.596399999999996,Medium
148,Other,"BIHAR SCHOOL EXAMINATION BOARD, PATNA",61.0,70.0,34,55,52.0,80.0,83.0,54.4,63.5,BIHAR SCHOOL EXAMINATION BOARD PATNA ,Hindi,224.0,56.0,58.95,Low
149,Other,CBSE,71.0,86.0,54,63,54.0,80.0,69.0,62.2,68.16,ICSE,English,240.0,60.0,65.18,Low
